Runtime,Enabled AI Count,Disabled AI Count
43.151672,4,167
43.190079,4,167
43.226589,4,167
43.261181,4,167
43.297115,4,167
43.331894,4,167
43.36684,4,167
43.404915,4,167
43.441032,4,167
43.475811,4,167
43.512806,4,167
43.54771,4,167
43.583744,4,167
43.622124,4,167
43.658508,4,167
43.693867,4,167
43.72934,4,167
43.764679,4,167
43.800549,4,167
43.837555,4,167
43.874065,4,167
43.908443,4,167
43.945023,4,167
43.979301,4,167
44.014534,4,167
44.052608,4,167
44.088528,4,167
44.125244,4,167
44.160645,4,167
44.196198,4,167
44.231468,4,167
44.269829,4,167
44.311962,4,167
44.347298,4,167
44.382263,4,167
44.417336,4,167
44.452381,4,167
44.489967,4,167
44.526901,4,167
44.562996,4,167
44.60067,4,167
44.635773,4,167
44.671944,4,167
44.709808,4,167
44.746822,4,167
44.781334,4,167
44.816956,4,167
44.851852,4,167
44.88673,4,167
44.926403,4,167
44.9632,4,167
44.998981,4,167
45.037014,4,167
45.072002,4,167
45.107162,4,167
45.145157,4,167
45.181828,4,167
45.216305,4,167
45.251701,4,167
45.288582,4,167
45.323547,4,167
45.360798,4,167
45.398262,4,167
45.433018,4,167
45.468479,4,167
45.504856,4,167
45.542866,4,167
45.586834,4,167
45.624729,4,167
45.66058,4,167
45.696911,4,167
45.732639,4,167
45.768551,4,167
45.807766,4,167
45.843952,4,167
45.878277,4,167
45.913662,4,167
45.949772,4,167
45.986664,4,167
46.026123,4,167
46.062366,4,167
46.097603,4,167
46.134182,4,167
46.170273,4,167
46.206432,4,167
46.244537,4,167
46.280548,4,167
46.316338,4,167
46.352356,4,167
46.38662,4,167
46.424183,4,167
46.462734,4,167
46.499783,4,167
46.536213,4,167
46.572067,4,167
46.606777,3,167
46.648346,3,167
46.686878,3,167
46.72308,3,167
46.758175,3,167
46.794899,3,167
46.830345,3,167
46.86684,3,167
46.905838,3,167
46.944546,3,167
46.979843,3,167
47.016068,3,167
47.052757,3,167
47.089508,3,167
47.127201,3,167
47.165543,3,167
47.200375,3,167
47.236397,3,167
47.271542,3,167
47.309246,3,167
47.347279,3,167
47.384892,3,167
47.421864,3,167
47.457737,3,167
47.49342,3,167
47.529583,3,167
47.567192,3,167
47.604935,3,167
47.646366,3,167
47.683399,3,167
47.718433,3,167
47.754883,3,167
47.792252,3,167
47.828701,3,167
47.863224,3,167
47.8983,3,167
47.932617,4,167
47.972488,4,167
48.010155,4,167
48.04707,4,167
48.08366,4,167
48.119015,4,167
48.155003,4,167
48.19138,4,167
48.229176,4,167
48.267719,4,167
48.303848,4,167
48.339134,4,167
48.375504,4,167
48.411995,4,167
48.450897,4,167
48.487389,4,167
48.523056,4,167
48.558224,3,167
48.59753,3,167
48.632748,3,167
48.67643,3,167
48.7118,3,167
48.746895,3,167
48.784069,3,167
48.820049,3,167
48.856922,3,167
48.894928,3,167
48.932167,3,167
48.9683,3,167
49.002632,3,167
49.03775,3,167
49.073196,3,167
49.111271,3,167
49.149372,3,167
49.185192,3,167
49.220165,3,167
49.255806,3,167
49.291676,3,167
49.330593,3,167
49.366989,3,167
49.402679,3,167
49.437691,3,167
49.474533,3,167
49.508953,3,167
49.548256,3,167
49.584141,3,167
49.621613,3,167
49.659901,3,167
49.694942,3,167
49.730923,3,167
49.769402,3,167
49.806404,3,167
49.842216,3,167
49.876385,3,167
49.912491,3,167
49.947575,3,167
49.987732,3,167
50.024288,3,167
50.059742,3,167
50.095062,3,167
50.131275,3,167
50.167938,3,167
50.207417,3,167
50.244144,3,167
50.279209,3,167
50.314491,3,167
50.349522,3,167
50.384739,3,167
50.422703,3,167
50.460705,3,167
50.496956,3,167
50.532433,3,167
50.570213,3,167
50.606678,3,167
50.645275,3,167
50.681789,3,167
50.723526,3,167
50.759769,3,167
50.796028,3,167
50.832558,3,167
50.937977,3,167
50.973476,3,167
51.008919,3,167
51.04459,3,167
51.083103,3,167
51.11879,3,167
51.153576,3,167
51.189468,3,167
51.226257,3,167
51.261673,3,167
51.299458,3,167
51.335835,3,167
51.373283,3,167
51.407887,3,167
51.443794,3,167
51.478561,3,167
51.517345,3,167
51.552353,3,167
51.587616,3,167
51.623932,3,167
51.659637,3,167
51.695347,3,167
51.735939,3,167
51.772915,3,167
51.808384,3,167
51.843872,3,167
51.879044,3,167
51.914654,3,167
51.953293,3,167
51.988876,3,167
52.025692,3,167
52.061008,3,167
52.098007,3,167
52.133926,3,167
52.173473,3,167
52.210114,3,167
52.2467,3,167
52.283707,3,167
52.320202,3,167
52.355541,3,167
52.39542,3,167
52.432602,3,167
52.479485,3,167
52.516514,3,167
52.553741,3,167
52.589012,3,167
52.629578,3,167
52.666279,3,167
52.702274,3,167
52.738052,3,167
52.775089,3,167
52.810123,3,167
52.850529,3,167
52.88702,3,167
52.923237,3,167
52.959919,3,167
52.996605,3,167
53.032524,3,167
53.073357,3,167
53.109417,3,167
53.148888,3,167
53.18642,3,167
53.223591,3,167
53.259743,3,167
53.299633,3,167
53.335831,3,167
53.372601,3,167
53.411259,3,167
53.44717,3,167
53.483707,3,167
53.52496,3,167
53.561531,3,167
53.597797,3,167
53.633911,3,167
53.673409,3,167
53.71143,3,167
53.751904,3,167
53.790462,3,167
53.826099,3,167
53.86235,3,167
53.898182,3,167
53.93446,3,167
53.973232,3,167
54.010201,3,167
54.046585,3,167
54.082943,3,167
54.119629,3,167
54.155087,3,167
54.193867,3,167
54.230446,3,167
54.266342,3,167
54.302502,3,167
54.338284,3,167
54.374737,3,167
54.413616,3,167
54.451519,1,169
54.483898,1,169
54.518959,1,169
54.55101,1,169
54.580269,1,169
54.615612,1,169
54.646397,0,170
54.680523,0,170
54.724979,0,170
54.767406,0,170
54.797871,0,170
54.839191,0,170
54.869625,0,170
54.899864,0,170
54.945129,0,170
54.97776,0,170
55.007557,0,170
55.040791,0,170
55.069832,0,170
55.100925,0,170
55.129078,0,170
55.159367,0,170
55.189537,0,170
55.221066,0,170
55.252544,0,170
55.284336,0,170
55.315372,0,170
55.345123,0,170
55.374249,0,170
55.405533,0,170
55.435543,0,170
55.468155,0,170
55.499653,0,170
55.530304,0,170
55.558949,0,170
55.592003,0,170
55.623554,0,170
55.654903,0,170
55.686913,0,170
55.717709,0,170
55.746731,0,170
55.777264,0,170
55.806362,0,170
55.835735,0,170
55.865559,0,170
55.898582,0,170
55.926907,0,170
55.95647,0,170
55.985771,0,170
56.016521,0,170
56.046303,0,170
56.077271,0,170
56.110687,0,170
